Ward Code 1,Ward Name 1,All Ages
E05000452,Sydenham,"16,779"
E05000453,Telegraph Hill,"17,471"
E05000454,Whitefoot,"15,882"
E05000455,Abbey,"11,074"
E05000456,Cannon Hill,"9,410"
E05000457,Colliers Wood,"10,917"
E05000458,Cricket Green,"12,022"
E05000459,Dundonald,"10,132"
E05000460,Figge's Marsh,"11,689"
E05000461,Graveney,"9,979"
E05000462,Hillside,"9,318"
E05000463,Lavender Fields,"11,001"
E05000464,Longthornton,"10,461"
E05000465,Lower Morden,"8,889"
E05000466,Merton Park,"9,838"
E05000467,Pollards Hill,"10,898"
E05000468,Ravensbury,"9,964"
E05000469,Raynes Park,"10,049"
E05000470,St Helier,"10,976"
E05000471,Trinity,"10,161"
E05000472,Village,"8,412"
E05000473,West Barnes,"9,968"
E05000474,Wimbledon Park,"11,295"
E05000475,Beckton,"16,433"
E05000476,Boleyn,"17,514"
E05000477,Canning Town North,"17,626"
E05000478,Canning Town South,"21,253"
E05000479,Custom House,"13,353"
E05000480,East Ham Central,"17,137"
E05000481,East Ham North,"14,865"
E05000482,East Ham South,"16,928"
E05000483,Forest Gate North,"16,299"
E05000484,Forest Gate South,"17,966"
E05000485,Green Street East,"16,852"
E05000486,Green Street West,"15,020"
E05000487,Little Ilford,"17,610"
E05000488,Manor Park,"15,455"
E05000489,Plaistow North,"15,941"
E05000490,Plaistow South,"17,948"
E05000491,Royal Docks,"17,692"
E05000492,Stratford and New Town,"38,114"
E05000493,Wall End,"15,247"
E05000494,West Ham,"16,013"
E05000516,Barnes,"10,131"
E05000517,East Sheen,"10,612"
E05000518,Fulwell and Hampton Hill,"10,661"
E05000519,"Ham, Petersham and Richmond Riverside","11,271"
E05000520,Hampton,"10,291"
E05000521,Hampton North,"9,379"
E05000522,Hampton Wick,"11,418"
E05000523,Heathfield,"10,740"
E05000524,Kew,"12,245"
E05000525,Mortlake and Barnes Common,"11,661"
E05000526,North Richmond,"11,925"
E05000527,St Margarets and North Twickenham,"12,064"
E05000528,South Richmond,"12,284"
E05000529,South Twickenham,"10,281"
E05000530,Teddington,"10,745"
E05000531,Twickenham Riverside,"11,358"
E05000532,West Twickenham,"11,092"
E05000533,Whitton,"9,983"
E05000555,Beddington North,"10,979"
E05000556,Beddington South,"11,264"
E05000557,Belmont,"10,580"
E05000558,Carshalton Central,"10,896"
E05000559,Carshalton South and Clockhouse,"10,549"
E05000560,Cheam,"10,672"
E05000561,Nonsuch,"10,965"
E05000562,St Helier,"12,819"
E05000563,Stonecot,"10,909"
E05000564,Sutton Central,"13,542"
E05000565,Sutton North,"11,309"
E05000566,Sutton South,"10,915"
E05000567,Sutton West,"11,137"
E05000568,The Wrythe,"11,335"
E05000569,Wallington North,"11,988"
E05000570,Wallington South,"11,261"
E05000571,Wandle Valley,"13,082"
E05000572,Worcester Park,"13,505"
E05000590,Cann Hall,"14,259"
E05000591,Cathall,"13,013"
E05000592,Chapel End,"15,396"
E05000593,Chingford Green,"10,475"
E05000594,Endlebury,"10,888"
E05000595,Forest,"13,137"
E05000596,Grove Green,"15,972"
E05000597,Hale End and Highams Park,"12,671"
E05000598,Hatch Lane,"11,610"
E05000599,High Street,"15,038"
E05000600,Higham Hill,"15,652"
E05000601,Hoe Street,"14,509"
E05000602,Larkswood,"12,788"
E05000603,Lea Bridge,"16,583"
E05000604,Leyton,"15,666"
E05000605,Leytonstone,"13,864"
E05000606,Markhouse,"14,237"
E05000607,Valley,"12,575"
E05000608,William Morris,"14,576"
E05000609,Wood Street,"14,031"
E05000610,Balham,"15,762"
E05000611,Bedford,"13,660"
E05000612,Earlsfield,"16,340"
E05000613,East Putney,"16,330"
E05000614,Fairfield,"15,675"
E05000615,Furzedown,"16,982"
E05000616,Graveney,"15,592"
E05000617,Latchmere,"16,365"
E05000618,Nightingale,"14,504"
E05000619,Northcote,"16,835"
E05000620,Queenstown,"21,079"
E05000621,Roehampton and Putney Heath,"17,568"
E05000622,St Mary's Park,"19,789"
E05000623,Shaftesbury,"15,549"
E05000624,Southfields,"17,319"
E05000625,Thamesfield,"16,465"
E05000626,Tooting,"16,205"
E05000627,Wandsworth Common,"15,083"
E05000628,West Hill,"16,424"
E05000629,West Putney,"16,209"
E05000630,Abbey Road,"15,767"
E05000631,Bayswater,"12,313"
E05000632,Bryanston and Dorset Square,"15,429"
E05000633,Churchill,"11,240"
E05000634,Church Street,"13,326"
E05000635,Harrow Road,"13,259"
E05000636,Hyde Park,"16,038"
E05000637,Knightsbridge and Belgravia,"12,139"
E05000638,Lancaster Gate,"16,154"
E05000639,Little Venice,"12,625"
E05000640,Maida Vale,"11,447"
E05000641,Marylebone High Street,"14,175"
E05000642,Queen's Park,"13,755"
E05000643,Regent's Park,"16,554"
E05000644,St James's,"12,985"
E05000645,Tachbrook,"9,999"
E05000646,Vincent Square,"12,831"
E05000647,Warwick,"10,839"
E05000648,Westbourne,"14,924"
E05000649,West End,"14,049"
E05000650,Astley Bridge,"14,133"
E05000651,Bradshaw,"11,331"
E05000652,Breightmet,"14,078"
E05000653,Bromley Cross,"13,503"
E05000654,Crompton,"16,828"
E05000655,Farnworth,"16,586"
E05000656,Great Lever,"16,402"
E05000657,Halliwell,"15,257"
E05000658,Harper Green,"15,275"
E05000659,Heaton and Lostock,"14,290"
E05000660,Horwich and Blackrod,"13,389"
E05000661,Horwich North East,"12,024"
E05000662,Hulton,"14,602"
E05000663,Kearsley,"14,497"
E05000664,Little Lever and Darcy Lever,"12,593"
E05000665,Rumworth,"17,707"
E05000666,Smithills,"14,595"
E05000667,Tonge with the Haulgh,"14,406"
E05000668,Westhoughton North and Chew Moor,"13,897"
E05000669,Westhoughton South,"12,855"
E05000670,Besses,"10,976"
E05000671,Church,"10,198"
E05000672,East,"11,997"
E05000673,Elton,"11,683"
E05000674,Holyrood,"11,086"
E05000675,Moorside,"12,764"
E05000676,North Manor,"9,590"
E05000677,Pilkington Park,"9,647"
E05000678,Radcliffe East,"12,573"
E05000679,Radcliffe North,"10,980"
E05000680,Radcliffe West,"11,841"
E05000681,Ramsbottom,"11,426"
E05000682,Redvales,"12,441"
E05000683,St Mary's,"10,470"
E05000684,Sedgley,"13,885"
E05000685,Tottington,"9,715"
E05000686,Unsworth,"9,436"
E05000719,Alexandra,"15,090"
E05000720,Chadderton Central,"11,116"
E05000721,Chadderton North,"11,415"
E05000722,Chadderton South,"11,456"
E05000723,Coldhurst,"13,404"
E05000724,Crompton,"10,192"
E05000725,Failsworth East,"10,205"
E05000726,Failsworth West,"10,447"
E05000727,Hollinwood,"12,515"
E05000728,Medlock Vale,"14,402"
E05000729,Royton North,"9,781"
E05000730,Royton South,"10,794"
E05000731,Saddleworth North,"9,753"
E05000732,Saddleworth South,"10,024"
E05000733,Saddleworth West and Lees,"10,723"
E05000734,St James',"12,707"
E05000735,St Mary's,"15,679"
E05000736,Shaw,"10,123"
E05000737,Waterhead,"13,629"
E05000738,Werneth,"14,173"
E05000739,Balderstone and Kirkholt,"11,784"
E05000740,Bamford,"9,845"
E05000741,Castleton,"10,766"
E05000742,Central Rochdale,"11,610"
E05000743,East Middleton,"10,741"
E05000744,Healey,"10,509"
E05000745,Hopwood Hall,"12,463"
E05000746,Kingsway,"13,412"
E05000747,Littleborough Lakeside,"9,306"
E05000748,Milkstone and Deeplish,"12,324"
E05000749,Milnrow and Newhey,"10,130"
E05000750,Norden,"9,282"
E05000751,North Heywood,"10,818"
E05000752,North Middleton,"10,258"
E05000753,Smallbridge and Firgrove,"12,391"
E05000754,South Middleton,"9,817"
E05000755,Spotland and Falinge,"11,832"
E05000756,Wardle and West Littleborough,"11,179"
E05000757,West Heywood,"11,929"
E05000758,West Middleton,"13,263"
E05000759,Barton,"13,663"
E05000760,Boothstown and Ellenbrook,"9,499"
E05000761,Broughton,"18,148"
E05000762,Cadishead,"10,688"
E05000763,Claremont,"10,129"
E05000764,Eccles,"12,013"
E05000765,Irlam,"9,607"
E05000766,Irwell Riverside,"14,682"
E05000767,Kersal,"13,715"
E05000768,Langworthy,"14,872"
E05000769,Little Hulton,"14,594"
E05000770,Ordsall,"24,174"
E05000771,Pendlebury,"14,023"
E05000772,Swinton North,"11,095"
E05000773,Swinton South,"11,287"
E05000774,Walkden North,"13,027"
E05000775,Walkden South,"10,928"
E05000776,Weaste and Seedley,"13,627"
E05000777,Winton,"12,873"
E05000778,Worsley,"10,053"
